,,,,Antigua Affected Exports to the USA (Top 100),,,
,,,,,,,
,,,,,,,
,HS,SITC,Country,DESCRIPTION, Exports to USA (USD) , Quantity ,Affected
,73262000,6,AG,"Articles of iron or steel wire, not elsewhere specified or included.","  2,064,842 ","  55,836 ",affected
,63063000,6,AG,"Sails for boats, sailboards or landcraft.","  434,006 ","  23,702 ",affected
,84137000,7,AG,Other centrifugal pumps.,"  283,161 ","  13,458 ",affected
,89039100,7,AG,"Sailboats, not inflatable, with or without auxiliary motor.","  221,960 ","  2,724 ",affected
,71131910,8,AG,"Articles of jewellery and parts thereof, of gold.","  194,960 ",  15 ,affected
,82079000,6,AG,"Other interchangeable tools for hand tools, whether or not power-operated, or for machine-tools.","  188,763 ","  18,376 ",affected
,62111200,8,AG,"Women’s or girls’ swimwear, not knitted or crocheted.","  185,110 ","  1,349 ",affected
,62044900,8,AG,"Women’s or girls’ dresses, not knitted or crocheted, of textile materials other than wool, fine animal hair, cotton, synthetic fibres or artificial fibres.","  151,941 ","  1,883 ",affected
,61034210,8,AG,"Men’s or boys’ trousers and shorts, knitted or crocheted, of cotton.","  150,306 ","  2,281 ",affected
,33030090,5,AG,"Perfumes and toilet waters, other than bay rum.","  125,060 ","  4,006 ",affected
,73269090,6,AG,"Other articles of iron or steel, not elsewhere specified or included.","  114,663 ","  193,899 ",affected
,62046210,8,AG,"Women’s or girls’ trousers and shorts, not knitted or crocheted, of cotton.","  110,211 ","  1,610 ",affected
,62063020,8,AG,"Women’s or girls’ shirts, not knitted or crocheted, of cotton.","  96,367 ","  1,024 ",affected
,89039200,7,AG,"Motorboats, other than outboard motors boats, not inflatable.","  90,563 ","  2,433 ",affected
,90318000,8,AG,"Other measuring or checking instruments, appliances and machines not elsewhere specified or included.","  86,689 ","  3,121 ",affected
,73143900,6,AG,"Other grill, netting and fencing, of iron or steel wire, welded at the intersection (other than those plated or coated with zinc).","  80,501 ","  60,545 ",affected
,84081000,7,AG,"Compression-ignition internal combustion piston engines (diesel or semi-diesel engines), for marine propulsion.","  70,438 ","  6,213 ",affected
,88032000,7,AG,"Under-carriages and parts thereof, of goods of heading 88.01or 88.02 (SITC 792 excluding 792.83).","  70,200 ",  784 ,affected
,22084010,1,AG,"Rum and other spirits obtained by distilling fermented sugarcane products, in bottles of a strength not exceeding 46% vol.","  67,399 ","  10,620 ",affected
,87164000,7,AG,"Other trailers and semi-trailers, not elsewhere specified or included.","  66,413 ","  70,909 ",affected
,90041000,8,AG,Sunglasses.,"  65,941 ",  284 ,affected
,85158000,7,AG,Machines and apparatus for welding (other than resistance or arc welding); electric machines and apparatus for hot spraying of metals or cermets.,"  63,151 ","  7,939 ",affected
,62061010,8,AG,"Women’s or girls’ blouses and shirt-blouses, not knitted or crocheted, of silk or silk waste.","  52,667 ",  364 ,affected
,95049090,8,AG,"Other articles for funfair, table or parlour games, including special tables for casino games and automatic bowling alley equipment.","  50,313 ","  2,000 ",affected
,64029910,8,AG,"Sandals and slippers, with outer soles and uppers of rubber or plastics.","  48,516 ",  776 ,affected
,62042200,8,AG,"Women’s or girls’ ensembles, not knitted or crocheted, of cotton.","  47,037 ","  2,880 ",affected
,85171210,7,AG,Portable radio-telephones.,"  39,687 ",  674 ,affected
,24021000,1,AG,"Cigars, cheroots and cigarillos, containing tobacco.","  35,304 ",  147 ,affected
,96050000,8,AG,"Travel sets for personal toilet, sewing or shoe or clothes cleaning.","  32,059 ","  1,543 ",affected
,84879000,7,AG,"Other machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features, not elsewhere specified or included.","  30,188 ","  1,561 ",affected
,84099920,7,AG,Parts suitable for use solely or principally with compression-ignition internal combustion piston engines (diesel or semi-diesel engines) for marine craft.,"  29,272 ","  3,599 ",affected
,90158000,8,AG,"Other instruments and appliances for surveying, for hydrographic, oceanographic, hydrological, meteorological or geophysical uses.","  28,980 ",  45 ,affected
,62059000,8,AG,"Men’s or boys’ shirts, not knitted or crocheted, of textile materials other than cotton or man-made fibres.","  28,675 ",  706 ,affected
,61051000,8,AG,"Men’s or boys’ shirts, knitted or crocheted, of cotton.","  26,358 ",  740 ,affected
,21069099,0,AG,Other food preparations not elsewhere specified or included.,"  24,408 ","  3,160 ",affected
,91021100,8,AG,"Wrist watches (other than those with case of precious metal or of metal clad with precious metal), electrically operated, whether or not incorporating a stop-watch facility, with mechanical display only.","  23,570 ",  21 ,affected
,88031000,7,AG,"Propellers and rotors and parts thereof, of goods of heading 88.01or 88.02 (SITC 792 excluding 792.83).","  23,144 ","  1,136 ",affected
,95062900,8,AG,"Water-skis, surf-boards and other water-sport equipment (excl. sailboards).","  22,967 ","  1,071 ",affected
,84198100,7,AG,"Other machinery, plant and equipment for making hot drinks or for cooking or heating food.","  22,757 ","  1,500 ",affected
,63072000,6,AG,Life-jackets and life-belts.,"  21,615 ","  3,052 ",affected
,64059000,8,AG,"Other footwear, not elsewhere specified or included.","  20,750 ",  322 ,affected
,94036090,8,AG,"Wooden furniture, other than of a kind used in offices, kitchens, bedrooms, schools, churches and laboratories.","  20,700 ","  4,929 ",affected
,62019300,8,AG,"Men’s or boys’ anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03 (SITC 841.2 and 841.3), not knitted or crocheted, of man-made fibres.","  20,125 ",  250 ,affected
,87032340,7,AG,Vehicles with spark-ignition internal combustion reciprocating piston engine of cylinder capacity exceeding 1800cc but not exceeding 2000cc.,"  19,320 ","  2,430 ",affected
,84311000,7,AG,"Parts suitable for use solely or principally with pulley tackle and hoists other than skip hoists, with winches and capstans, and with jacks.","  19,059 ","  3,189 ",affected
,85369000,7,AG,"Other electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, surge suppressors, junction boxes), for a voltage not exceeding 1,000 volts.","  18,828 ",  42 ,affected
,62034210,8,AG,Men's or boys’ denim trousers and shorts,"  18,507 ",  472 ,affected
,82055100,6,AG,Household hand tools.,"  17,409 ","  5,054 ",affected
,62069010,8,AG,"Women’s or girls’ blouses and shirt-blouses, not knitted or crocheted, of textile materials other than silk or silk waste, wool, fine animal hair, cotton or man-made fibres.","  16,848 ",  460 ,affected
,71131100,8,AG,"Articles of jewellery and parts thereof, of silver, whether or not plated or clad with other precious metal.","  16,761 ",  9 ,affected
,84099120,7,AG,Parts suitable for use solely or principally with spark-ignition internal combustion piston engines for marine craft.,"  16,373 ",  927 ,affected
,85389000,7,AG,"Other parts suitable for use solely or principally with the apparatus of heading 85.35, 85.36 or  85.37 (SITC 772.4, 772.5 or 772.6).","  16,100 ",  723 ,affected
,91022100,8,AG,"Wrist-watches (other than those with case of precious metal or of metal clad with precious metal), not electrically operated, whether or not incorporating a stop-watch facility, with automatic winding.","  15,961 ",  4 ,affected
,85481000,7,AG,"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary cells, spent primary batteries and spent electric accumulators.","  15,094 ","  32,900 ",affected
,56075010,6,AG,"Twine and ropes, of other synthetic fibres.","  14,834 ","  6,514 ",affected
,62042900,8,AG,"Women’s or girls’ ensembles, not knitted or crocheted, of textile materials other than wool, fine animal hair, cotton or synthetic fibres.","  14,648 ","  3,001 ",affected
,84715000,7,AG,"Processing units other than those of subheading 8471.41 (SITC 752.31) or 8471.49 (SITC 752.32), whether or not containing in the same housing one or two of the following types of unit: storage units, input units, output units.","  14,597 ",  587 ,affected
,62111100,8,AG,"Men’s or boys’ swimwear, not knitted or crocheted.","  14,299 ",  177 ,affected
,84798900,7,AG,"Other machines and mechanical appliances having individual functions, not elsewhere specified or included.","  14,264 ",  74 ,affected
,84082000,7,AG,"Compression-ignition internal combustion piston engines (diesel or semi-diesel engines), of a kind used for the propulsion of vehicles of Chapter 87 (SITC 78, 722, 744.14, 744.15, and 891.11).","  13,735 ","  1,632 ",affected
,97011010,8,AG,"Paintings, executed entirely by hand, other than drawings of heading 49.06 (SITC 892.82) and other than hand-painted or hand-decorated manufactured articles.","  13,680 ",  730 ,affected
,90314900,8,AG,"Other optical instruments and appliance, not elsewhere specified or included.","  13,329 ",  19 ,affected
,87031000,7,AG,Vehicles specially designed for travelling on snow; golf cars and similar vehicles.,"  13,081 ",  550 ,affected
,87089990,7,AG,"Other parts and accessories for the motor vehicles of headings 87.02 to 87.05 (SITC 781, 782 and 783.1).","  12,880 ","  1,130 ",affected
,84339090,7,AG,"Parts of harvesting or threshing machinery (including straw or fodder balers), of other grass or hay mowers and of machines for cleaning, sorting or grading eggs, fruit or other agricultural produce.","  12,036 ",  100 ,affected
,65050090,8,AG,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed.","  11,760 ",  134 ,affected
,84719000,7,AG,"Data-processing equipment, not elsewhere specified or included.","  11,667 ",  35 ,affected
,73071900,6,AG,"Cast fittings, of iron (other than non-malleable cast iron) or steel.","  11,572 ",  599 ,affected
,61091010,8,AG,"T-shirts, knitted or crocheted, of cotton.","  11,396 ",  374 ,affected
,62046910,8,AG,"Women’s or girls’ trousers and shorts, not knitted or crocheted, of textile materials other than wool, fine animal hair, cotton or synthetic fibres.","  11,373 ",  409 ,affected
,85098090,7,AG,"Other electro-mechanical domestic appliances, with self-contained electric motor.","  11,341 ","  2,803 ",affected
,42022900,8,AG,"Other handbags, whether or not with shoulder strap, including those without handle, not elsewhere specified or included, including those made of vulcanised fibre or of paperboard, or wholly or maily covered with such materials or with paper.","  11,142 ",  139 ,affected
,40169990,6,AG,"Other articles of non-cellular vulcanized rubber other than hard rubber, not elsewhere specified or included.","  10,684 ","  9,828 ",affected
,94032090,8,AG,"Metal furniture, other than of a kind used in offices, schools, churches or laboratories.","  10,566 ","  1,013 ",affected
,84145190,7,AG,"Wall or window fans, with a self-contained electric motor of an output not exceeding 125 W.","  10,069 ",  786 ,affected
,73181500,6,AG,"Other screws and bolts, whether or not with their nuts or washers, of iron or steel.","  10,063 ",  104 ,affected
,86090000,7,AG,Containers (including containers for the transport of fluids) specially designed and equipped for carriage by one or more modes of transport.,"  10,063 ",  124 ,affected
,95061900,8,AG,"Snow-ski equipment, other than ski-fastenings (ski-bindings).","  10,063 ",  104 ,affected
,88039000,7,AG,Other parts of goods of heading 88.01or 88.02 (SITC 792 excluding 792.83).,"  10,002 ",  16 ,affected
,84314990,7,AG,Other parts of machinery suitable for use solely or principally with machinery of heading 84.26 (SITC 744.3).,"  9,811 ","  2,687 ",affected
,89031000,7,AG,"Yachts and other vessels for pleasure or sports (including rowing boats and canoes), inflatable.","  9,320 ",  373 ,affected
,82055900,6,AG,"Other hand tools (including glaziers’ diamonds), not elsewhere specified or included.","  8,802 ",  580 ,affected
,87082900,7,AG,"Other parts and accessories of bodies (including cabs) for the motor vehicles of headings 87.01 to 87.05 (SITC 722, 781, 782 and 783).","  8,453 ",  437 ,affected
,18069000,0,AG,"Other chocolate and food preparations containing cocoa, nes.","  8,420 ",  517 ,affected
,87168090,7,AG,"Other vehicles, not mechanically propelled, not elsewhere specified or included.","  8,186 ",  21 ,affected
,95079010,8,AG,Other fishing tackle.,"  8,047 ",  202 ,affected
,42033000,8,AG,"Belts and bandoliers, of leather or of composition leather.","  7,259 ",  119 ,affected
,84669300,7,AG,Other parts and accessories for machines of headings 84.56 to 84.61 (SITC 731).,"  7,245 ",  375 ,affected
,62034910,8,AG,"Men's or boys’ trousers and shorts of textile materials other than wool, fine animal hair, cotton or synthetic fibres.","  7,047 ",  162 ,affected
,73170010,6,AG,"Masonry and roofing nails of iron or steel, whether or not with heads of other material, but excluding such articles with heads of copper.","  6,811 ","  1,137 ",affected
,33049990,5,AG,Other beauty or make-up preparations and preparations for the care of the skin (other than medicaments).,"  6,653 ",  360 ,affected
,82059000,6,AG,Sets of articles of two or more of the foregoing subheadings.,"  6,612 ","  1,737 ",affected
,42022100,8,AG,"Handbags, whether or not with shoulder strap, including those without handle, with outer surface of leather or of composition leather.","  6,383 ",  241 ,affected
