,,,OECS Affected Exports to the USA (Top 100),,,
,,,,,,
,,,,,,
,HS,SITC1,DESCRIPTION,   Exports to USA (USD)   ,   Quantity  (KG) ,Affected
,71131990,8,"Articles of jewellery and parts thereof, of precious metal (other tha silver or gold), whether or not plated or clad with precious metal.","  7,373,360 ","  2,358 ",affected
,85366900,7,"Plugs and sockets, for a voltage not exceeding 1,000 volts.","  6,706,111 ","  505,324 ",affected
,91011900,8,"Wrist-watches, with case of precious metal or of metal clad with precious metal, electrically operated, whether or not incorporating a stop-watch facility, other than those with mechanical display only.","  3,521,385 ",  746 ,affected
,71131910,8,"Articles of jewellery and parts thereof, of gold.","  2,395,671 ",  300 ,affected
,73262000,6,"Articles of iron or steel wire, not elsewhere specified or included.","  2,065,481 ","  55,855 ",affected
,12122100,2,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, fit for human consumption.","  1,712,278 ","  124,567 ",affected
,71131100,8,"Articles of jewellery and parts thereof, of silver, whether or not plated or clad with other precious metal.","  1,515,118 ","  3,323 ",affected
,32091010,5,"Paints based on acrylic or vinyl polymers, dispersed or dissolved in an aqueous medium.","  1,416,028 ","  588,528 ",affected
,03069990,0,"Other, including flours, meals and pellets of crustaceans, fit for human consumption, other than for breeding or rearing.","  1,226,941 ","  76,841 ",affected
,49070020,8,Bank and currency notes.,"  1,214,535 ","  10,687 ",affected
,03023110,0,"Albacore or long finned tunas, for processing, fresh or chilled.","  1,198,837 ","  390,895 ",affected
,22084010,1,"Rum and other spirits obtained by distilling fermented sugarcane products, in bottles of a strength not exceeding 46% vol.","  1,111,192 ","  276,712 ",affected
,03078400,0,Frozen stromboid conchs (Strombus spp.).,"  1,077,994 ","  119,000 ",affected
,91022100,8,"Wrist-watches (other than those with case of precious metal or of metal clad with precious metal), not electrically operated, whether or not incorporating a stop-watch facility, with automatic winding.","  818,961 ",  455 ,affected
,61091010,8,"T-shirts, knitted or crocheted, of cotton.","  760,142 ","  50,403 ",affected
,82041200,6,"Hand-operated spanners and wrenches, adjustable.","  695,236 ",  198 ,affected
,91021100,8,"Wrist watches (other than those with case of precious metal or of metal clad with precious metal), electrically operated, whether or not incorporating a stop-watch facility, with mechanical display only.","  651,198 ",  657 ,affected
,89039900,7,"Other non-inflatable yachts, rowing boats, canoes and vessels for pleasure or sports.","  621,451 ","  39,423 ",affected
,21039010,0,Pepper sauce.,"  616,360 ","  287,469 ",affected
,32081040,5,"Other paints based on polyesters, dispersed or dissolved in a non-aqueous medium.","  607,777 ","  264,926 ",affected
,90158000,8,"Other instruments and appliances for surveying, for hydrographic, oceanographic, hydrological, meteorological or geophysical uses.","  578,453 ","  8,015 ",affected
,24022000,1,Cigarettes containing tobacco.,"  532,501 ","  18,119 ",affected
,98010000,9,Personal and household effects,"  521,719 ","  42,685 ",affected
,63063000,6,"Sails for boats, sailboards or landcraft.","  474,610 ","  24,315 ",affected
,22089000,1,Other undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol,"  463,691 ","  138,295 ",affected
,85171210,7,Portable radio-telephones.,"  452,641 ","  1,880 ",affected
,72043000,2,Waste and scrap of tinned iron or steel.,"  421,474 ","  364,624 ",affected
,08109040,0,"Soursop, fresh.","  416,856 ","  67,766 ",affected
,22083010,1,"Whiskies, in bottles of a strength not exceeding 46% vol.","  411,011 ","  69,601 ",affected
,03079920,0,"Conch, other than live, fresh or chilled","  407,168 ","  20,832 ",affected
,73269090,6,"Other articles of iron or steel, not elsewhere specified or included.","  357,579 ","  397,345 ",affected
,22087000,1,Liqueurs and cordials.,"  355,635 ","  77,653 ",affected
,33030090,5,"Perfumes and toilet waters, other than bay rum.","  346,594 ","  7,190 ",affected
,01061110,0,Live monkeys.,"  340,500 ","  1,055 ",affected
,90328900,8,"Automatic regulating or controlling instruments and apparatus (other than thermostats, manostats or hydraulic or pneumatic instruments and apparatus).","  309,195 ",  189 ,affected
,62046990,8,"Women’s or girls’ bib and brace overalls and breeches, not knitted or crocheted, of textile materials other than wool, fine animal hair, cotton or synthetic fibres.","  305,155 ","  4,640 ",affected
,71031010,6,"Precious stones (other than diamonds) and semi-precious stones, unworked or simply sawn or roughly shaped, temporarily strung for convenience of transport.","  294,859 ",  50 ,affected
,85452000,7,Carbon brushes.,"  289,333 ","  9,527 ",affected
,84137000,7,Other centrifugal pumps.,"  283,504 ","  13,460 ",affected
,84798900,7,"Other machines and mechanical appliances having individual functions, not elsewhere specified or included.","  281,351 ","  5,809 ",affected
,24021000,1,"Cigars, cheroots and cigarillos, containing tobacco.","  275,285 ","  1,293 ",affected
,49070090,8,"Stamp-impressed paper; stock, share or bond certificates and similar documents of title.","  269,939 ","  1,501 ",affected
,03023210,0,"Yellowfin tunas, for processing, fresh or chilled.","  244,206 ","  79,790 ",affected
,85043100,7,"Transformers (other than liquid dielectric transformers), having a power handling capacity not exceeding 1 kVA.","  242,215 ","  18,727 ",affected
,62111200,8,"Women’s or girls’ swimwear, not knitted or crocheted.","  240,078 ","  4,857 ",affected
,62046210,8,"Women’s or girls’ trousers and shorts, not knitted or crocheted, of cotton.","  239,799 ","  6,108 ",affected
,90041000,8,Sunglasses.,"  232,916 ","  5,822 ",affected
,90065900,8,"Other cameras, not elsewhere specified or included.","  227,586 ","  3,024 ",affected
,89039100,7,"Sailboats, not inflatable, with or without auxiliary motor.","  221,960 ","  2,724 ",affected
,85182900,7,"Loudspeakers, not mounted in their enclosures.","  216,314 ","  6,114 ",affected
,85332100,7,Fixed electrical resistors (other than heating resistors or composition- or film-type carbon resistors) for a power handling capacity not exceeding 20W.,"  214,656 ","  1,384 ",affected
